fun,nit
452.0,23
573.0,26
1046.0,23
809.0,23
436.0,27
486.0,20
304.0,29
538.0,27
979.0,24
432.0,23
293.0,22
591.0,23
485.0,22
460.0,18
1027.0,20
1204.0,23
576.0,23
453.0,18
483.0,26
401.0,19
591.0,26
598.0,25
761.0,30
824.0,20
1834.0,28
1375.0,28
469.0,25
541.0,25
715.0,33
