fun_total
2340.0
2719.0
2709.0
3697.0
507.0
1667.0
644.0
1588.0
2483.0
1609.0
1042.0
2218.0
2267.0
2531.0
2805.0
2765.0
2259.0
2154.0
2399.0
2402.0
2679.0
2615.0
2740.0
2718.0
3611.0
2655.0
1675.0
2189.0
2495.0
